"N","Author","Year","Species","Genus","Family","F.H","Life.form","Sp.origin","Approach","Response","Phase1.m.ori","Phase1.m","Phase1.culti","Experimental.setting","SoilTp","Phase2.grow","Phase2.time","Source","rr","var","Latitude","Longitude","Latitude.abs","MAT","MAP","AI","group","hop_code","hop_score","provenance_confidence","decisive_basis","inherited_rule_id","coder_a_code","coder_b_code"
"5680","Kembel et al. 2018","2018","Carex bohemica","Carex","Cyperaceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-0.656758663","0.499548644","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5681","Kembel et al. 2018","2018","Carex bohemica","Carex","Cyperaceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","0.614921496","0.301040827","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5682","Kembel et al. 2018","2018","Carex bohemica","Carex","Cyperaceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","0.566596773","0.20553976","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5683","Kembel et al. 2018","2018","Carex bohemica","Carex","Cyperaceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-0.539847377","0.198294306","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5684","Kembel et al. 2018","2018","Carex bohemica","Carex","Cyperaceae","Greenhouse","Nonwoody","Native","Self-Sterilized","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-1.273923301","0.234153522","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Sterilized; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5685","Kembel et al. 2018","2018","Centaurea jacea","Centaurea","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","1.272557661","0.391425708","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5686","Kembel et al. 2018","2018","Centaurea jacea","Centaurea","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","0.588231138","0.284693424","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5687","Kembel et al. 2018","2018","Centaurea jacea","Centaurea","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","0.822222107","0.27737983","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5688","Kembel et al. 2018","2018","Centaurea jacea","Centaurea","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","0.084748786","0.238176232","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5689","Kembel et al. 2018","2018","Centaurea jacea","Centaurea","Asteraceae","Greenhouse","Nonwoody","Native","Self-Sterilized","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-0.57681128","0.186205467","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Sterilized; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5690","Kembel et al. 2018","2018","Centaurea scabiosa","Centaurea","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","0.250566765","0.048427585","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5691","Kembel et al. 2018","2018","Centaurea scabiosa","Centaurea","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-0.456496588","0.139464597","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5692","Kembel et al. 2018","2018","Centaurea scabiosa","Centaurea","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-0.006378682","0.12044436","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5693","Kembel et al. 2018","2018","Centaurea scabiosa","Centaurea","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-0.620626528","0.077393039","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5694","Kembel et al. 2018","2018","Centaurea scabiosa","Centaurea","Asteraceae","Greenhouse","Nonwoody","Native","Self-Sterilized","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-1.343279373","0.060015508","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Sterilized; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5695","Kembel et al. 2018","2018","Centaurea valesiaca","Centaurea","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-0.314887154","0.022405525","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5696","Kembel et al. 2018","2018","Centaurea valesiaca","Centaurea","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-0.011948494","0.042433168","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5697","Kembel et al. 2018","2018","Centaurea valesiaca","Centaurea","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-0.513072032","0.127843881","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5698","Kembel et al. 2018","2018","Centaurea valesiaca","Centaurea","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-0.675445872","0.036694145","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5699","Kembel et al. 2018","2018","Centaurea valesiaca","Centaurea","Asteraceae","Greenhouse","Nonwoody","Native","Self-Sterilized","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-1.729020199","0.062385018","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Sterilized; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5700","Kembel et al. 2018","2018","Cleistogenes serotina","Cleistogenes","Poaceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-1.153397207","0.449850713","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5701","Kembel et al. 2018","2018","Cleistogenes serotina","Cleistogenes","Poaceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-1.067348641","0.435076233","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5702","Kembel et al. 2018","2018","Cleistogenes serotina","Cleistogenes","Poaceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-1.050975709","0.430816863","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5703","Kembel et al. 2018","2018","Cleistogenes serotina","Cleistogenes","Poaceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-1.626706624","0.610511062","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5704","Kembel et al. 2018","2018","Cleistogenes serotina","Cleistogenes","Poaceae","Greenhouse","Nonwoody","Native","Self-Sterilized","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-2.526777412","0.36854958","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Sterilized; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5705","Kembel et al. 2018","2018","Juncus arcticus","Juncus","Juncaceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","1.391489178","0.557024185","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5706","Kembel et al. 2018","2018","Juncus arcticus","Juncus","Juncaceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","0.671184365","0.141160853","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5707","Kembel et al. 2018","2018","Juncus arcticus","Juncus","Juncaceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","3.571014178","0.124350549","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5708","Kembel et al. 2018","2018","Juncus arcticus","Juncus","Juncaceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","0.315958697","0.179146547","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
